1	4
582	2836
1079	2426
1580	2446
2086	2470
2521	2124
2949	2089
3357	1992
3720	1772
4077	1743
4465	1894
4834	1796
5192	1748
5600	1992
5970	1806
6329	1752
6705	1835
7078	1816
7490	2006
7884	1923
8277	1918
8717	2148
9114	1938
9527	2016
9892	1782
10278	1884
10654	1835
11023	1801
11409	1884
11779	1806
12157	1845
12651	2407
13022	1806
13493	2299
13998	2465
14359	1762
14713	1728
15087	1826
15516	2094
15922	1982
16350	2089
16820	2294
17250	2099
17693	2163
18121	2089
18544	2065
18979	2124
19421	2158
19976	2709
20524	2675
21077	2700
21495	2041
21834	1655
22243	1997
22801	2719
23360	2729
23829	2290
24193	1772
24588	1928
24943	1733
25341	1943
25832	2397
26318	2373
26884	2758
27216	1621
27564	1699
27923	1752
28276	1723
28640	1777
29006	1787
29356	1708
29761	1977
30179	2041
30687	2480
31180	2407
31648	2285
32064	2026
32433	1796
32837	1972
33270	2114
33743	2309
34130	1889
34475	1684
34875	1953
35276	1958
35745	2290
36130	1879
36510	1855
36887	1840
37430	2651
37960	2587
38495	2612
39055	2734
39614	2729
40141	2573
40689	2675
41133	2167
41558	2075
41997	2143
42430	2114
42826	1933
43201	1831
43569	1796
43931	1767
44364	2114
44800	2128
45177	1840
45583	1982
46001	2041
46408	1987
46814	1982
47226	2011
47603	1840
47993	1904
48433	2148
48883	2197
49345	2255
49775	2094
50259	2363
50712	2211
51168	2226
51630	2255
52047	2036
52420	1821
52779	1748
53139	1757
53530	1909
53955	2075
54385	2099
54825	2148
55248	2065
55720	2304
56097	1840
56478	1860
56816	1650
57178	1767
57554	1831
58085	2592
58548	2260
58988	2143
59464	2324
59950	2373
60380	2099
60815	2124
61310	2416
61738	2089
62170	2109
62638	2285
63082	2167
63459	1840
63863	1972
64306	2163
64731	2075
65154	2065
65629	2314
65966	1645
66325	1752
66683	1748
67053	1806
67432	1850
67790	1748
68205	2026
68581	1835
68940	1752
69291	1713
69662	1811
70024	1767
70388	1777
70745	1743
71117	1816
71489	1816
71840	1713
72190	1708
72540	1708
72903	1772
73258	1733
73599	1665
73943	1674
74305	1767
74677	1816
75037	1757
75395	1748
75799	1972
76155	1738
76552	1938
76901	1704
77239	1650
77600	1762
77965	1782
78355	1904
78697	1669
79039	1669
79405	1787
79760	1733
80128	1796
80499	1811
80858	1752
81234	1835
81586	1718
82036	2197
82468	2109
82967	2436
83303	1640
83663	1757
84017	1728
84362	1684
84733	1811
85097	1777
85468	1811
85846	1845
86231	1879
86783	2695
87343	2734
87899	2714
88376	2329
88714	1650
89068	1728
89441	1821
89804	1772
90209	1977
90629	2050
90992	1772
91364	1816
91739	1831
92100	1762
92446	1689
92808	1767
93184	1835
93555	1811
93936	1860
94302	1787
94662	1757
95028	1787
95400	1816
95762	1767
96130	1796
96505	1831
97028	2553
97462	2119
97976	2509
98463	2377
98812	1704
99162	1708
99527	1782
99991	2265
100352	1757
100705	1723
101075	1806
101432	1743
101759	1596
102079	1562
102416	1645
102768	1718
103130	1767
103596	2275
104031	2124
104435	1972
104782	1694
